,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,rating,price,RestaurantsTableService,RestaurantsTakeOut,RestaurantsPriceRange2,id,alias,Grade,zipcode,location,category,hours
0,67QmiVYdCbG4PRmF61A5bw,Il Corvo Pasta,217 James St,Seattle,WA,98104,47.60244,-122.33165,,1240,4.5,$$,,,,67QmiVYdCbG4PRmF61A5bw,il-corvo-pasta-seattle,1.0,98104,Pioneer Square,Italian:Noodles:Pasta Shops,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
1,ySKMvcI3ImApkkMkSjna9A,Mike's Noodle House,418 Maynard Ave S,Seattle,WA,98104,47.59859,-122.32481999999999,,1060,4.0,$,,,,ySKMvcI3ImApkkMkSjna9A,mikes-noodle-house-seattle,,98104,Pioneer Square,Chinese:Noodles,"[{'open': [{'is_overnight': False, 'start': '0930', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0930', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0930', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0930', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0930', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0930', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0930', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
2,bzX2yVjfPEOBzBnZeWXQKQ,A + Hong Kong Kitchen,419 6th Ave S,Seattle,WA,98104,47.59854,-122.32652,,496,4.0,$,,,,bzX2yVjfPEOBzBnZeWXQKQ,a-hong-kong-kitchen-seattle,,98104,Pioneer Square,Cantonese:Hong Kong Style Cafe,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
3,cDoFLe0IU1uc7CCPpje0oA,Chengdu Memory,520 S Jackson St,Seattle,WA,98104,47.599369,-122.326621,,107,4.0,,,,,cDoFLe0IU1uc7CCPpje0oA,chengdu-memory-seattle,2.0,98104,Pioneer Square,Hot Pot:Szechuan,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
4,OjX2LacSZd_w2Olmx55HJA,Harbor City Restaurant,707 S King St,Seattle,WA,98104,47.598209999999995,-122.32338999999999,,1554,4.0,$$,,,,OjX2LacSZd_w2Olmx55HJA,harbor-city-restaurant-seattle,3.0,98104,Pioneer Square,Barbeque:Dim Sum:Cantonese,"[{'open': [{'is_overnight': False, 'start': '0830', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0830', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '0830', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0830', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0830', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0830', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0830', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
5,0GMUVpxMjRrKk7vJO3EC8w,King Noodle,615 S King St,Seattle,WA,98104,47.5982,-122.32551000000001,,564,4.0,$,,,,0GMUVpxMjRrKk7vJO3EC8w,king-noodle-seattle,2.0,98104,Pioneer Square,Chinese:Noodles,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,E4PzUSFuduzS6tLmGgosoQ,Tamarind Tree,1036 S Jackson St,Seattle,WA,98104,47.599840664555906,-122.317832050262,,1338,4.0,$$,,,,E4PzUSFuduzS6tLmGgosoQ,tamarind-tree-seattle,2.0,98104,Pioneer Square,Vietnamese:Noodles,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
7,_3wrETt6P6f41qZUYCu76w,Gan Bei,670 S Weller St,Seattle,WA,98104,47.59768,-122.32413000000001,,38,4.5,,,,,_3wrETt6P6f41qZUYCu76w,gan-bei-seattle,,98104,Pioneer Square,Comfort Food:Asian Fusion:Hong Kong Style Cafe,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
8,GFd_8ntaINMcZzm-rZqV2g,Momosan Ramen & Sake,504 5th Ave S,Seattle,WA,98104,47.5976467887569,-122.32718266546699,,157,3.5,$$,,,,GFd_8ntaINMcZzm-rZqV2g,momosan-ramen-and-sake-seattle,2.0,98104,Pioneer Square,Ramen:Noodles:Izakaya,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
9,JWtrqqPxfmc3g0NPoBJV3w,Sizzling Pot King,660 S King St,Seattle,WA,98104,47.5985,-122.32445,,100,4.0,,,,,JWtrqqPxfmc3g0NPoBJV3w,sizzling-pot-king-seattle-2,3.0,98104,Pioneer Square,Hot Pot:Chinese,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0230', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0230', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0230', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0230', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0230', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0230', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 6}, {'is_overnight': True, 'start': '1700', 'end': '0230', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
